repository	commit	date	subject	subsystem	disposition	relevance reason
v8/v8	f7489fc61d2edc02a83fd0a84050f7928e137200	2025-10-07T12:18:00+02:00	[test][wasm-js] Simplify specifying flags	wasm-other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	d05f2fc4787441d97208c5ecf5364dad48211aef	2025-10-07T14:24:51+02:00	[maglev] Don't find property load continuations across try-catch blocks	codegen-platform	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	bc5519298baf5680afaf9d5a3d218c39592b285e	2025-10-07T05:27:31-07:00	Revert "[turboshaft] Extend BranchElimination to eliminate Switches"	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3259e0ad4afc8e3aa834e2299165d1f4b7cc351f	2025-10-07T08:39:48-04:00	[heap] Make CheckIneffectiveMarkCompact late	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	11e71ca38ef3a1a41cf19530dd767c30ac218530	2025-10-07T13:32:44+02:00	[api] Delete old String::Write* APIs	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	d1eb7578dd9dc96706ce977167f603dcc0ded4dd	2025-10-07T14:35:29+02:00	[ept] Delete tag kExternalObjectValueTag	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	4b940c54419d29abf6f8e880949a11a7992bbc5a	2025-10-07T15:13:53+02:00	[turboshaft] Constant-fold TruncateJSPrimitiveToUntagged for Hole/Oddball	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	e39fada53e37a77706c3fea3b2ccf46e607afe52	2025-10-07T15:32:54+02:00	[wasm-custom-desc][turboshaft] Fix TypedOptimizationReducer...	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	1a0335e361ddf7a6824815861f1799f1417414eb	2025-10-07T15:48:25+02:00	[turbofan] Remove hole special case in InferReceiverMaps	compiler-other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	7c61f35b53598976347cf5281d43f09ce1b5a86f	2025-10-07T15:12:28+02:00	[turbolev] Fix triggering concurrent turbolevving on OSR	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	010fb4d5cb21a29f13c476595a98f52f680cc1ff	2025-10-07T16:44:03+02:00	[heap] Refactor VisitWeakList	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	50101969925934f6f658df9620c00608dd864e81	2025-10-01T16:46:26-04:00	Fix some compile failures under C++23	wasm-runtime	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	f88cc17a315bafff8eb903d81c2b2609149091d6	2025-10-07T09:02:56-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3f4d6ecc29da3d483ac5ce04e6d6fd7c4e177813	2025-10-07T16:38:57+02:00	[regexp] Make Bytecode operand value getters GC safe	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	bb63ea9cd9750565750cfd69fb848f76f20850a7	2025-10-07T22:49:29-07:00	Revert "Update V8 DEPS (trusted)"	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	81ef560550daa7b8dec96c2adb6d40a898468b52	2025-10-07T22:54:54-07:00	Revert "[regexp] Make Bytecode operand value getters GC safe"	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ca172508a1e4a19dec7ed455bb98696ee0221d35	2025-10-07T13:31:20+01:00	[inspector] avoid dereferencing an end iterator	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	496237c28106ec0f31f63e9866d60bd27b6046b9	2025-10-07T22:03:08-07:00	Update fuzztest (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	754138677631e97ffd94af49f3045124eb1485f8	2025-10-07T16:39:26+02:00	[maglev] Change Float64ToHeapNumberForField's input type to Float64	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	e47355817a5e620d783596d8bf1fab340a285d57	2025-10-07T23:41:39-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	959a5faf31ff978e675a36377ac9335e00bc017f	2025-10-08T09:16:27+02:00	[heap] Remove uses of UNSAFE_SKIP_WRITE_BARRIER in C++ write barriers	heap-backing-store	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ec700dbfb7aea638c315de4b354b26a6704e9bfc	2025-10-08T09:25:18+02:00	[arm64] Remove superfluous DCHECK	codegen-platform	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ad7613aaa2ac5a62e4fb511f74285bb1eba366c0	2025-10-08T10:45:27+02:00	[heap] Explicitly skip write barriers during WeakCell processing	heap-backing-store	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	2a3b92f23175f877ed3c872a444a86ae7d6496aa	2025-10-08T09:06:07+02:00	[turbolev] Fix reasoning about loops when triggering turbolevving on OSR	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	1370b0bd0727045ac742c2a8bec77ccb3fdcc105	2025-10-06T14:00:49+02:00	[heap] Add CFI directives to the ARM64 trampoline	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	17ebe21c2248239659457de28573d01ae32f35b3	2025-10-08T13:07:08+02:00	[wasm] More precise trap message for call_indirect	wasm-liftoff	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	988d886c48ec700bb5ea50d4738cc7c5deee7aea	2025-10-08T13:43:24+02:00	[turbolev] Reduce simple cases of Math.min/max	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	8ad091e5727571d635aca4ce37cf134ca235140c	2025-10-08T07:40:29-04:00	[Heap] Unify allocation retry loops	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	cced82a37ad592b9efc5a825693f92e4396a9584	2025-10-08T14:10:48+02:00	[turbolev] Add ReplaceWith variant	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	4bf921059c242b20a16d42d548024ba14a8b401f	2025-10-08T14:17:14+02:00	[maglev] Correctly propagate float64 conversion types in the optimizer	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	b50129859ef82030b8a1acb82ed73d680bafdc82	2025-10-08T14:19:13+02:00	[maglev] Correclty unwrap conversions in Float64 binop constant folding	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	884c9b8d48891e1eb9edb81953748c1ed8fee36e	2025-10-08T14:52:36+02:00	[test] Update stress-deopt-count-2 test	other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	d1004d9491f66466b5b0770bc0b7e1a21259c03f	2025-10-08T15:20:28+02:00	[turboshaft][wasm] Print name of builtin in relocatable wasm stub constants	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	f97fef0c7e2c53f44aa8c784240cf7f5d3e62ec4	2025-10-08T15:41:49+02:00	[api] Advance deprecation of unused interceptor callback types	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	94f59b588a956ae04d123722e12c9ab7db56373f	2025-10-08T16:02:35+02:00	[maglev] also remove ConversionNode prop from UncheckedNumberOrOddbToF64	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	0276da77ac3fa1370df59b827b2c40d824f5abeb	2025-10-08T16:33:31+02:00	[maglev] Propagate LoadType to BuildLoadFixedArrayElement	other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	7c1814fdf064867570c2eee6efb6da80fe95c3db	2025-10-08T16:08:02+02:00	[heap] Fix many failing unit tests with --shared-heap enabled	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	80ddedfe2c4b798a82127c72b907be20f0e07a8d	2025-10-08T09:01:46-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ac575980b4469487f971c0842bdd1341ba1cb1f8	2025-10-08T21:01:36-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	05f9ca4e222f2b1466a93f92a02d4e6b647f374e	2025-10-08T16:20:07+02:00	[regexp] Fix potential overflow on 32-bit builds	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3ba386b7a38e061a6ce92ec771e4cf6d5fc7d930	2025-10-08T22:02:34-07:00	Update fuzztest (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	85bf79a59d502fb82d62c7669b9294b443f4f68a	2025-10-08T10:14:41+02:00	Reland "[regexp] Make Bytecode operand value getters GC safe"	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	eefcf64d0040c5261ec83f87a5b251ed6876f8a3	2025-10-08T15:34:50+02:00	[turbolev] Remove deopt check in int32 operations	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3cf1289f36f52afe1ec58b74e759ce18f45bdcc4	2025-10-08T15:46:51+02:00	[strings] Support shared strings without a shared string table	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	90c7d28307d84d983ab94a87319c2a42191fbf18	2025-10-09T08:51:21+02:00	Rename AllocationSite::DoNotInlineBit	compiler-other	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	023eb01dd809658c9bd07c67b178fc96373ab7a6	2025-10-08T20:45:09+02:00	[wasm] Move metrics collection to sync phase	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	a482fc3263f53e06ac54090a957b9c614de95400	2025-10-09T07:38:39Z	[riscv][turbolev] Remove deopt check in int32 operations	other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ed98079fca5eab03d2c50e2de5b0ccf3c8b9f9d1	2025-10-08T14:42:55+02:00	[upsert] Implement and stage upsert	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	88390c78308a596551d27a9f796407c55f875673	2025-10-08T10:59:56+02:00	[wasm][cleanup] Remove dead isolate argument	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	19e04644246a05bfa479054cd048e302885b3387	2025-10-09T10:32:00+02:00	[heap] Unify GC retry loops in HeapAllocator	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	6fdded9a328554703a6c09a706f28dd1510cac9a	2025-10-09T09:11:23Z	[fuzzing] Fix more runtime functions that are unsafe for fuzzing	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	00a1a2c0a9c61257ac8fce4ec722a6809d70116e	2025-10-09T10:35:02+02:00	[wasm] Remove two unused limit constants	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	6f54c1ba5b6d6b75d02956706bb08ac7e6df50d4	2025-10-09T09:29:43Z	[wasm] Propagate relative call counts for inlining	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ac58a23a4c2e6f90ff305435c54d5ff32922cb33	2025-10-09T10:42:12+02:00	[regexp] Change BytecodeGenerator to use new Bytecode format.	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	e38211fb99e43a08c13f60aceb4db9c7d83b50d5	2025-10-09T09:41:24+02:00	[runtime] Mark TraceUpdateFeedback as CannotTriggerGC	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	2fac2929fd0892c97564ebff42ec9cd4762f2273	2025-10-09T03:28:24-07:00	Revert "[heap] Unify GC retry loops in HeapAllocator"	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	d06de34d27c4c23cd7091caffbe105a05b4a9939	2025-10-08T10:44:08+02:00	[csa] Enforce valid Label for non-computed hashes in LoadNameHash	codegen-platform	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	d0189786f41c588f9ecfe9b3a50fd19a2732bb47	2025-10-09T03:12:27-07:00	Revert "[Heap] Unify allocation retry loops"	heap-backing-store	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	c15ae1f27b549d2eb7d7b14e311199ad473fb0ed	2025-10-09T11:42:48Z	PPC/s390: [turbolev] Remove deopt check in int32 operations	other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	576b09b2c79679384c7bd81021d817d815ccb0ae	2025-10-09T13:02:43+02:00	[test] Fix shared string test on non-sandbox builds	other	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	85412c1fc5604b43767955a347e196c33e8b9edf	2025-10-09T10:30:57+02:00	[compiler dispatcher] Print out a log entry if we fail to enqueue jobs	compiler-other	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	7bbe73d7ff1f7fcefeece3a4961d13680364c007	2025-10-09T11:52:49+02:00	[turbolev] Extract optimizations from graph builder to reduce comp time	compiler-turboshaft	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	006fd6637119ca51e48e33c600cb173957b76712	2025-10-09T13:36:10+02:00	[maglev] Inline Array ctor for double elements	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	42b46451abfd4d4d3b70212f89c18b5f7a421627	2025-10-09T14:48:30+02:00	[wasm] Use designated initialization for LiftoffOptions	wasm-liftoff	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	ac846b1a80ed174c3cd7fbe1df5677b9ea7007f9	2025-10-09T14:43:47+02:00	Reland "[turboshaft] Extend BranchElimination to eliminate Switches"	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	22e68482bcd999055f69d5924e95bc9c3981fe2c	2025-10-09T16:39:19+02:00	[maglev] Fix untagging loop phis	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	f9c63ef10893c7e4a3b28686dff5b9fd6d14f40b	2025-10-09T16:37:05+02:00	[maglev] Don't consider CheckSmi uses	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	325e09104cbb92b37ea642694668a26d5ca4d288	2025-10-09T16:54:59+02:00	[debugger] Fix a crash when debugging	codegen-platform	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	a5772454dae05139fb0ab32a2260ab3901958e9d	2025-10-09T09:48:51+02:00	[heap] Handle shared target/unregister_token for JSWeakRef/WeakCell	heap-backing-store	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	78de30fdd55b362ddbac3206776d864ba49858dc	2025-10-09T16:11:31Z	Implement check to prevent casting to continuation types.	wasm-runtime	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3793c0be4f1da9468318e249ec59eb2734ecb28b	2025-10-09T21:03:09-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	fed47445bbdd1a69b70f2b93a761c62c1e0f769c	2025-10-07T16:28:34-05:00	Fix build on gcc	compiler-turboshaft	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	99b1f1383cca953cd04f082018bdd0211528e41a	2025-10-09T12:36:12+02:00	[metrics] Remove test-only TimedScope	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	cc30a95ac63fd693f8d8b8aa7ea13b1b3a685e61	2025-10-09T12:49:46+02:00	[wasm] Reuse `UseNativeModuleInIsolate` logic more often	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	707c2d812a3b14e652c2cb4a2f6cda329b9bdb5d	2025-10-09T13:45:39+02:00	[maglev] Inline Array ctor for double elements with 0 and 1 args	compiler-turboshaft	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	08d948d0d0ae9a2cd56f75ae138e54a9ea65e1a6	2025-10-09T15:54:00+02:00	[turboshaft][wasm] Add type assertions to type optimizer	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	7180099f2cfe694d5abdadb598951fc444d1db55	2025-10-09T17:09:34+02:00	[wasm][liftoff] Fix invalidated ool trap label	wasm-liftoff	detailed-candidate	Liftoff out-of-line indirect-call trap-label lifetime fix; inspected and not a linear-memory effective-address fix. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	2e2b5617273fc01007f212404ca6b9d5b627e194	2025-10-09T19:45:53+02:00	Add a de-opt state logging patch for DUMPLING.	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	c162039d71d8989f835695aef3d1491ee0172b55	2025-10-09T13:49:31+02:00	[wasm] Associate native module with isolate later	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	8085af524c5072f699f51f310d506cd6e0b34530	2025-10-10T10:40:33+02:00	[array] Clarify Array ctor speculation	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	2780f2f0ce0d33323a7ce9db985bbd63e7426b7a	2025-10-10T10:23:05+02:00	[fuzzer][wasm] Conditionally enable type assertions in libfuzzer fuzzers	wasm-tests	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	4d41587feabc74b6162570b842ed24df626350fe	2025-10-10T11:27:54+02:00	[turboshaft] Implement a TYPESWITCH primitive for Turboshaft	compiler-turboshaft	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	63bb7ae8b61672689097982cbd133698ac297738	2025-10-10T11:44:08+02:00	[turboshaft][wasm] Also add type assertions for incoming parameters	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	4a5c43abd9fe37c3b76db5bdafd33a2b0719cd89	2025-10-10T12:20:31+02:00	[infra] Add wasm_assert_types variant	wasm-tests	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	204e8a95bf3596950b8b08e80cd245f15a70441c	2025-10-10T13:03:08+02:00	[test][filecheck] Skip failing new test case on official bot	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	6c3cf74789bb97a970c5fd2514086b814cbea609	2025-10-10T12:39:24+02:00	Disallow calling %Optimize... without calling %Prepare...	codegen-platform	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	85ca515634ff216b0a7921626530c8296b44ebae	2025-10-10T12:40:58+02:00	[maglev] Split NumberToFloat64 and NumberOrOddballToFloat64	compiler-turboshaft	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	98b132033450aa7836acce3086bea70e316aad1d	2025-10-10T17:21:47+08:00	Display size and count of blink dom objects in memory-infra.	heap-backing-store	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	5a91e7604c3fe0d1f567c5ad9355d18461e1e227	2025-10-09T16:51:56-04:00	[heap] Add data argument on OOMErrorCallback	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	fddf2a8afc207f3fa27c18637e4976d554a79c8d	2025-10-10T14:11:10+02:00	[wasm][turbolev] Fix wrapper inlining inside try-catch	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	b371b4f8ba073fb5c054273e8909bee5de574b35	2025-10-09T15:06:36+02:00	[interpreter] Merge hole elision info on break	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	3ba89f0f661439216da15b627df808027707ba99	2025-10-10T05:14:31-07:00	Revert "[regexp] Change BytecodeGenerator to use new Bytecode format."	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	fd07117734229ad8fcbe3677af77ea386bd85624	2025-10-10T19:58:33+09:00	Read the signature from WasmInternalFunction object	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	a530b2c29486d05e98fde344898cd007846cb50a	2025-10-10T16:05:17+02:00	[maglev][turbolev] Remove identity phis when possible	compiler-turboshaft	retained-by-path	Changed a screened engine path; diff triaged by subsystem after full-range enumeration. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	1f5fbf68240881514b88112d13c146facdb60244	2025-10-10T16:48:24+02:00	[interpreter] Merge hole elision info on continue	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	5fb45e9e0f7a8ae2d457269d6fec208741b3e6fe	2025-10-10T11:59:33+02:00	[regexp] Don't print code/bytecode after compilation failure	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	fb159af0198fa3929da8463a0a87ba1e9024107b	2025-10-10T09:01:02-07:00	Update V8 DEPS (trusted)	other	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	9b640f5b6c52f218b32d981122c5cde85157b5de	2025-10-09T14:08:01+02:00	[wasm] Prepare NativeModule in the background	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	8798d80ac021050913b2cfa26f6e8ad0cf19f5ee	2025-10-10T14:06:45+02:00	[d8][wasm] Fix deserialization with differing compile time imports	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	28afbf7fb6509eb429ef3a6f31e6f25801f6b784	2025-10-10T12:20:51-07:00	Revert "[d8][wasm] Fix deserialization with differing compile time imports"	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
v8/v8	a865c79ff50df35375af90173dbf9657e5d5264f	2025-10-10T15:05:53-07:00	[wasm] Stage Resizable ArrayBuffer Wasm integration	wasm-runtime	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
